 false, Dermot McMillan
 true, John Brannigan
 true, Jarlath Moloney
 false, Manus Mac Ateer
 true, Dermot Curren
 false, Brian Brennan
 true, Dahy O'Ryan
 true, Turlough Callaghan
 true, Enda Connolly
 false, Barra Mc Lean
 true, Frankie Kiley
 true, George McDermott
 false, Paul Cullen
 true, Kian O'Casey
 true, Maurice Farrell
 true, Cahill McMillan
 false, Owen Moynihan
 true, Conan McShane
 true, Turlough McDonnell
 false, Teague McCarthy
 false, Cuan Farrell
 true, George Joyce
 false, Malachy Shanahan
 false, Billy O'Reilly
 true, Donal Murphy
 true, Malachy McDermott
 false, Aengus Lynch
 false, Teague Shannon
 true, Kieran Considine
 true, Jimmy McAleese
 false, Michael Brannigan
 true, Kieran Canavan
 true, Ryan Fallon
 false, Finbar Maguire
 true, Ossian Mc Namara
 true, Aidan Fahey
 true, Aengus Flanigan
 true, Jimmy Fallon
 false, Dahy Moynihan
 false, Michael Cullen
 false, Cuan Dougal
 true, Fallon Farrell
 true, Billy McEvoy
 true, George Malone
 false, Columba Fallon
 true, James Maguire
 true, Aengus Mc Lean
 true, Cuan O'Ryan
 false, Donal Connolly
 true, Francis Quinn
 true, Finn McGuinness
 true, Ronan Brannigan
 true, Peter Quinn
 false, Donagh Moloney
 true, Joseph O'Connell
 true, Lochlan Mullen
 false, Donal McCarthy
 true, Paddy Curren
 true, Colman Mc Namara
 true, Kilian McLennan
 true, Dermot O'Casey
 false, Fergus McGlinchy
 true, Barra Quinlan
 true, Manus Carroll
 false, Jimmy Farrelly
 false, Kieran Joyce
 false, Enda Brennan
 true, Dahy McEvoy
 true, Enda McAleese
 true, Kilian Mc Namara
 false, Aidan O'Dowd
 true, Paul O'Dowd
 true, Michael Mahoney
 false, Cuan O'Ryan
 true, Colman McDonnell
 false, John McAleese
 true, Owen Shanahan
 false, Fintan Canavan
 true, Ryan McDermott
 false, Kieran Mac Ateer
 true, James McDermott
 true, Finbar Kiley
 false, Cahill Flanigan
 true, Jarlath Cullen
 true, Sean McAleese
 false, Lochlan Flanagan
 true, Fergus Shannon
 true, Paddy Fahey
 false, Lochlan Flanagan
 true, Brian Mc Lean
 true, Kian Kiley
 true, Lochlan McDonnell
 false, Darragh Quinn
 true, Frankie Shanahan
 false, Billy McDermott
 true, Neal Guinness
 true, Neal Mullen
 true, Enda Curren
 true, Lochlan Mahoney
 true, Barra McLennan
